service,course_id,group_id,person_id,name,email,type,topic_id,topic_description,date,SUCCESS,WARNING,FAILURE,ERROR,INFO,TIMEOUT
Code,1,1,,,,,,,,,,,
Code,1,1,a0025281,Parlo Samrohamo,parlo.samrohamo@student.tuwien.ac.at,,,,,,,,
Code,1,1,a0301725,Keryde Colack,keryde.colack@unet.univie.ac.at,,,,,,,,
Code,1,1,a0302810,Tyred Tuany,tyred.tuany@o-z.at,,,,,,,,
Code,1,1,a0306694,Zai Dienry,zai.dienry@unet.univie.ac.at,406,1277907860,1,0,0,0,0,0
Code,1,1,a0306694,Zai Dienry,zai.dienry@unet.univie.ac.at,406,1277039509,0,1,0,1,0,0
Code,1,1,a0306694,Zai Dienry,zai.dienry@unet.univie.ac.at,406,1277038429,0,0,1,0,0,0
Code,1,1,a0306694,Zai Dienry,zai.dienry@unet.univie.ac.at,406,1277038133,0,0,1,0,0,0
Code,1,1,a0306694,Zai Dienry,zai.dienry@unet.univie.ac.at,406,1277037851,0,0,1,0,0,0
Code,1,1,a0306694,Zai Dienry,zai.dienry@unet.univie.ac.at,406,1276093703,0,0,1,0,0,0
Code,1,1,a0306694,Zai Dienry,zai.dienry@unet.univie.ac.at,406,1277038549,0,0,1,0,0,0
Code,1,1,a0306694,Zai Dienry,zai.dienry@unet.univie.ac.at,406,1277046344,0,1,0,1,0,0
Code,1,1,a0306694,Zai Dienry,zai.dienry@unet.univie.ac.at,406,1276857881,0,0,1,0,0,0
Code,1,1,a0306694,Zai Dienry,zai.dienry@unet.univie.ac.at,406,1277039260,0,0,1,0,0,0
Code,1,1,a0306694,Zai Dienry,zai.dienry@unet.univie.ac.at,406,1276857703,0,0,1,0,0,0
Code,1,1,a0306694,Zai Dienry,zai.dienry@unet.univie.ac.at,406,1277038789,0,0,1,0,0,0
Code,1,1,a0306694,Zai Dienry,zai.dienry@unet.univie.ac.at,406,1277040528,0,1,0,1,0,0
Code,1,1,a0306694,Zai Dienry,zai.dienry@unet.univie.ac.at,406,1277044445,0,1,0,1,0,0
Code,1,1,a0306694,Zai Dienry,zai.dienry@unet.univie.ac.at,406,1277044936,0,1,0,1,0,0
Code,1,1,a0306694,Zai Dienry,zai.dienry@unet.univie.ac.at,406,1276858219,0,0,1,0,0,0
Code,1,1,a0325144,Maldon Raymonson,maldon.raymonson@unet.univie.ac.at,,,,,,,,
Code,1,1,a0327157,Callan Lenyontwa,callan.lenyontwa@gmx.at,,,,,,,,
Code,1,1,a0347735,Richri Ronzo,richri.ronzo@unet.univie.ac.at,,,,,,,,
Code,1,1,a0348272,Rayleb Darlto,rayleb.darlto@unet.univie.ac.at,405,1276941878,1,2,0,0,0,0
Code,1,1,a0348292,Rael Charya,rael.charya@unet.univie.ac.at,100,1277086813,0,2,0,1,0,0
Code,1,1,a0348292,Rael Charya,rael.charya@unet.univie.ac.at,100,1277496103,0,1,0,1,0,0
Code,1,1,a0348292,Rael Charya,rael.charya@unet.univie.ac.at,100,1277215873,0,2,0,1,0,0
Code,1,1,a0348292,Rael Charya,rael.charya@unet.univie.ac.at,100,1277160182,0,1,0,1,0,0
Code,1,1,a0348292,Rael Charya,rael.charya@unet.univie.ac.at,100,1276274440,0,0,1,0,0,0
Code,1,1,a0348292,Rael Charya,rael.charya@unet.univie.ac.at,100,1277205719,0,1,0,1,0,0
Code,1,1,a0348292,Rael Charya,rael.charya@unet.univie.ac.at,100,1276105747,0,1,1,0,0,0
Code,1,1,a0348292,Rael Charya,rael.charya@unet.univie.ac.at,100,1277085687,0,2,0,1,0,0
Code,1,1,a0348292,Rael Charya,rael.charya@unet.univie.ac.at,100,1277209815,0,1,0,1,0,0
Code,1,1,a0348292,Rael Charya,rael.charya@unet.univie.ac.at,100,1276105634,0,0,1,0,0,0
Code,1,1,a0348292,Rael Charya,rael.charya@unet.univie.ac.at,100,1276105022,0,0,1,0,0,0
Code,1,1,a0348292,Rael Charya,rael.charya@unet.univie.ac.at,100,1276101446,0,0,1,0,0,0
Code,1,1,a0348292,Rael Charya,rael.charya@unet.univie.ac.at,100,1277079198,0,0,1,0,0,0
Code,1,1,a0348292,Rael Charya,rael.charya@unet.univie.ac.at,100,1276105389,0,0,1,0,0,0
Code,1,1,a0348292,Rael Charya,rael.charya@unet.univie.ac.at,100,1277079392,0,0,1,0,0,0
Code,1,1,a0348292,Rael Charya,rael.charya@unet.univie.ac.at,100,1277118989,0,2,0,1,0,0
Code,1,1,a0348292,Rael Charya,rael.charya@unet.univie.ac.at,100,1276103629,0,0,1,0,0,0
Code,1,1,a0348292,Rael Charya,rael.charya@unet.univie.ac.at,100,1277208915,0,1,0,1,0,0
Code,1,1,a0348292,Rael Charya,rael.charya@unet.univie.ac.at,100,1276104696,0,0,1,0,0,0
Code,1,1,a0348292,Rael Charya,rael.charya@unet.univie.ac.at,100,1277083396,0,0,1,0,0,0
Code,1,1,a0348292,Rael Charya,rael.charya@unet.univie.ac.at,100,1277156203,0,2,0,1,0,0
Code,1,1,a0348292,Rael Charya,rael.charya@unet.univie.ac.at,100,1277208451,0,1,0,1,0,0
Code,1,1,a0348292,Rael Charya,rael.charya@unet.univie.ac.at,100,1277157723,0,2,0,1,0,0
Code,1,1,a0348292,Rael Charya,rael.charya@unet.univie.ac.at,100,1277083777,0,0,1,0,0,0
Code,1,1,a0348292,Rael Charya,rael.charya@unet.univie.ac.at,100,1277086070,0,2,0,1,0,0
Code,1,1,a0348292,Rael Charya,rael.charya@unet.univie.ac.at,100,1277207511,0,1,0,1,0,0
Code,1,1,a0348292,Rael Charya,rael.charya@unet.univie.ac.at,100,1277086621,0,2,0,1,0,0
Code,1,1,a0348292,Rael Charya,rael.charya@unet.univie.ac.at,100,1277079694,0,2,0,1,0,0
Code,1,1,a0348292,Rael Charya,rael.charya@unet.univie.ac.at,100,1276106281,0,2,0,1,0,0
Code,1,1,a0348292,Rael Charya,rael.charya@unet.univie.ac.at,100,1276102087,0,0,1,0,0,0
Code,1,1,a0348292,Rael Charya,rael.charya@unet.univie.ac.at,100,1277152126,0,2,0,1,0,0
Code,1,1,a0348292,Rael Charya,rael.charya@unet.univie.ac.at,100,1277163068,0,1,0,1,0,0
Code,1,1,a0348292,Rael Charya,rael.charya@unet.univie.ac.at,100,1277089492,0,2,0,1,0,0
Code,1,1,a0348292,Rael Charya,rael.charya@unet.univie.ac.at,100,1277084252,0,2,0,1,0,0
Code,1,1,a0348292,Rael Charya,rael.charya@unet.univie.ac.at,100,1276100529,0,0,1,0,0,0
Code,1,1,a0348292,Rael Charya,rael.charya@unet.univie.ac.at,100,1276104958,0,0,1,0,0,0
Code,1,1,a0348292,Rael Charya,rael.charya@unet.univie.ac.at,100,1277079486,0,0,1,0,0,0
Code,1,1,a0348292,Rael Charya,rael.charya@unet.univie.ac.at,100,1277085436,0,2,0,1,0,0
Code,1,1,a0348292,Rael Charya,rael.charya@unet.univie.ac.at,100,1277153578,0,2,0,1,0,0
Code,1,1,a0348292,Rael Charya,rael.charya@unet.univie.ac.at,100,1277084687,0,2,0,1,0,0
Code,1,1,a0348292,Rael Charya,rael.charya@unet.univie.ac.at,100,1277087348,0,2,0,1,0,0
Code,1,1,a0348292,Rael Charya,rael.charya@unet.univie.ac.at,100,1277084477,0,2,0,1,0,0
Code,1,1,a0348292,Rael Charya,rael.charya@unet.univie.ac.at,100,1277079305,0,0,1,0,0,0
Code,1,1,a0348292,Rael Charya,rael.charya@unet.univie.ac.at,100,1277116848,0,2,0,1,0,0
Code,1,1,a0348292,Rael Charya,rael.charya@unet.univie.ac.at,100,1277083077,0,0,1,0,0,0
Code,1,1,a0348292,Rael Charya,rael.charya@unet.univie.ac.at,100,1277084087,0,0,1,0,0,0
Code,1,1,a0348292,Rael Charya,rael.charya@unet.univie.ac.at,100,1277248387,0,2,0,1,0,0
Code,1,1,a0348292,Rael Charya,rael.charya@unet.univie.ac.at,100,1277083926,0,0,1,0,0,0
Code,1,1,a0348292,Rael Charya,rael.charya@unet.univie.ac.at,100,1277086224,0,2,0,1,0,0
Code,1,1,a0348292,Rael Charya,rael.charya@unet.univie.ac.at,100,1276116512,0,0,1,0,0,0
Code,1,1,a0348292,Rael Charya,rael.charya@unet.univie.ac.at,100,1277156092,0,2,0,1,0,0
Code,1,1,a0348292,Rael Charya,rael.charya@unet.univie.ac.at,100,1276273798,0,0,1,0,0,0
Code,1,1,a0348292,Rael Charya,rael.charya@unet.univie.ac.at,100,1277488257,0,1,0,1,0,0
Code,1,1,a0348292,Rael Charya,rael.charya@unet.univie.ac.at,100,1276175383,1,0,0,0,0,0
Code,1,1,a0348292,Rael Charya,rael.charya@unet.univie.ac.at,100,1277156157,0,2,0,1,0,0
Code,1,1,a0348292,Rael Charya,rael.charya@unet.univie.ac.at,100,1276111092,0,0,1,0,0,0
Code,1,1,a0348292,Rael Charya,rael.charya@unet.univie.ac.at,100,1277083601,0,0,1,0,0,0
Code,1,1,a0348292,Rael Charya,rael.charya@unet.univie.ac.at,100,1277118751,0,2,0,1,0,0
Code,1,1,a0348292,Rael Charya,rael.charya@unet.univie.ac.at,100,1276104383,0,0,1,0,0,0
Code,1,1,a0348292,Rael Charya,rael.charya@unet.univie.ac.at,100,1277082992,0,0,1,0,0,0
Code,1,1,a0348292,Rael Charya,rael.charya@unet.univie.ac.at,100,1277162941,0,1,0,1,0,0
Code,1,1,a0349293,Jonike Charlogan,jonike.charlogan@unet.univie.ac.at,307,1275310522,0,2,0,1,0,0
Code,1,1,a0361271,Sticar Jefabian,sticar.jefabian@unet.univie.ac.at,,,,,,,,
Code,1,1,a0400378,Ric Blarc,ric.blarc@unet.univie.ac.at,,,,,,,,
Code,1,1,a0411615,Guie Kustonehe,guie.kustonehe@unet.univie.ac.at,,,,,,,,
Code,1,1,a0411651,Keam Jaistin,keam.jaistin@gmail.com,,,,,,,,
Code,1,1,a0427401,Nar Chanuelin,nar.chanuelin@unet.univie.ac.at,,,,,,,,
Code,1,1,a0448711,Omario Karmo,omario.karmo@unet.univie.ac.at,,,,,,,,
Code,1,1,a0500549,Jamir Justo,jamir.justo@unet.univie.ac.at,100,1276025178,0,2,0,1,0,0
Code,1,1,a0500549,Jamir Justo,jamir.justo@unet.univie.ac.at,100,1276094819,1,2,0,0,0,0
Code,1,1,a0500549,Jamir Justo,jamir.justo@unet.univie.ac.at,100,1276103178,1,2,0,0,0,0
Code,1,1,a0500549,Jamir Justo,jamir.justo@unet.univie.ac.at,100,1275444444,1,2,0,0,0,0
Code,1,1,a0500549,Jamir Justo,jamir.justo@unet.univie.ac.at,100,1275746975,0,1,1,0,0,0
Code,1,1,a0500549,Jamir Justo,jamir.justo@unet.univie.ac.at,100,1275748351,1,2,0,0,0,0
Code,1,1,a0500549,Jamir Justo,jamir.justo@unet.univie.ac.at,100,1276114975,1,1,0,0,0,0
Code,1,1,a0500549,Jamir Justo,jamir.justo@unet.univie.ac.at,100,1276026961,1,2,0,0,0,0
Code,1,1,a0500549,Jamir Justo,jamir.justo@unet.univie.ac.at,100,1276032124,1,2,0,0,0,0
Code,1,1,a0500549,Jamir Justo,jamir.justo@unet.univie.ac.at,100,1276027029,1,2,0,0,0,0
Code,1,1,a0500549,Jamir Justo,jamir.justo@unet.univie.ac.at,100,1276030096,1,1,0,0,0,0
Code,1,1,a0500549,Jamir Justo,jamir.justo@unet.univie.ac.at,100,1274544352,1,2,0,0,0,0
Code,1,1,a0500549,Jamir Justo,jamir.justo@unet.univie.ac.at,100,1275747916,1,2,0,0,0,0
Code,1,1,a0500549,Jamir Justo,jamir.justo@unet.univie.ac.at,100,1276094646,1,2,0,0,0,0
Code,1,1,a0500549,Jamir Justo,jamir.justo@unet.univie.ac.at,100,1276025273,0,2,0,1,0,0
Code,1,1,a0500549,Jamir Justo,jamir.justo@unet.univie.ac.at,100,1275743049,1,2,0,0,0,0
Code,1,1,a0500549,Jamir Justo,jamir.justo@unet.univie.ac.at,100,1275688897,1,2,0,0,0,0
Code,1,1,a0500549,Jamir Justo,jamir.justo@unet.univie.ac.at,100,1276112644,1,2,0,0,0,0
Code,1,1,a0500549,Jamir Justo,jamir.justo@unet.univie.ac.at,100,1276026744,1,2,0,0,0,0
Code,1,1,a0500549,Jamir Justo,jamir.justo@unet.univie.ac.at,100,1276025821,0,2,0,1,0,0
Code,1,1,a0500549,Jamir Justo,jamir.justo@unet.univie.ac.at,100,1276029949,1,2,0,0,0,0
Code,1,1,a0500549,Jamir Justo,jamir.justo@unet.univie.ac.at,100,1275741601,0,2,0,1,0,0
Code,1,1,a0500549,Jamir Justo,jamir.justo@unet.univie.ac.at,100,1275747684,1,2,0,0,0,0
Code,1,1,a0500549,Jamir Justo,jamir.justo@unet.univie.ac.at,100,1275202753,1,2,0,0,0,0
Code,1,1,a0500549,Jamir Justo,jamir.justo@unet.univie.ac.at,100,1274627447,1,2,0,0,0,0
Code,1,1,a0500549,Jamir Justo,jamir.justo@unet.univie.ac.at,100,1274827537,1,2,0,0,0,0
Code,1,1,a0500549,Jamir Justo,jamir.justo@unet.univie.ac.at,100,1275747980,0,2,0,1,0,0
Code,1,1,a0500549,Jamir Justo,jamir.justo@unet.univie.ac.at,100,1276025969,1,2,0,0,0,0
Code,1,1,a0500549,Jamir Justo,jamir.justo@unet.univie.ac.at,100,1276026236,1,2,0,0,0,0
Code,1,1,a0500549,Jamir Justo,jamir.justo@unet.univie.ac.at,100,1275741703,1,2,0,0,0,0
Code,1,1,a0500549,Jamir Justo,jamir.justo@unet.univie.ac.at,100,1276110912,1,2,0,0,0,0
Code,1,1,a0500549,Jamir Justo,jamir.justo@unet.univie.ac.at,100,1276092706,1,2,0,0,0,0
Code,1,1,a0500549,Jamir Justo,jamir.justo@unet.univie.ac.at,100,1276112575,1,2,0,0,0,0
Code,1,1,a0504661,Sane Zavon,sane.zavon@unet.univie.ac.at,605,1276610805,1,1,0,0,0,0
Code,1,1,a0504661,Sane Zavon,sane.zavon@unet.univie.ac.at,605,1274340801,1,2,0,0,0,0
Code,1,1,a0504661,Sane Zavon,sane.zavon@unet.univie.ac.at,605,1274776015,0,0,1,0,0,0
Code,1,1,a0504661,Sane Zavon,sane.zavon@unet.univie.ac.at,605,1274772004,1,1,0,0,0,0
Code,1,1,a0504661,Sane Zavon,sane.zavon@unet.univie.ac.at,605,1276610635,0,1,1,0,0,0
Code,1,1,a0504661,Sane Zavon,sane.zavon@unet.univie.ac.at,605,1274770375,1,1,0,0,0,0
Code,1,1,a0504661,Sane Zavon,sane.zavon@unet.univie.ac.at,605,1274340217,0,2,0,2,0,0
Code,1,1,a0504661,Sane Zavon,sane.zavon@unet.univie.ac.at,605,1274438673,0,2,0,1,0,0
Code,1,1,a0504661,Sane Zavon,sane.zavon@unet.univie.ac.at,605,1274340666,0,2,0,2,0,0
Code,1,1,a0504661,Sane Zavon,sane.zavon@unet.univie.ac.at,605,1274438112,0,2,0,1,0,0
Code,1,1,a0504661,Sane Zavon,sane.zavon@unet.univie.ac.at,605,1274699432,0,0,1,0,0,0
Code,1,1,a0504661,Sane Zavon,sane.zavon@unet.univie.ac.at,605,1276611309,1,0,0,0,0,0
Code,1,1,a0504661,Sane Zavon,sane.zavon@unet.univie.ac.at,605,1274775846,0,0,1,0,0,0
Code,1,1,a0504661,Sane Zavon,sane.zavon@unet.univie.ac.at,605,1274635848,0,2,0,2,0,0
Code,1,1,a0504661,Sane Zavon,sane.zavon@unet.univie.ac.at,605,1274635582,0,2,0,2,0,0
Code,1,1,a0504661,Sane Zavon,sane.zavon@unet.univie.ac.at,605,1276611032,0,1,0,1,0,0
Code,1,1,a0504661,Sane Zavon,sane.zavon@unet.univie.ac.at,605,1274440487,0,2,0,1,0,0
Code,1,1,a0504661,Sane Zavon,sane.zavon@unet.univie.ac.at,605,1274632357,1,1,0,0,0,0
Code,1,1,a0504661,Sane Zavon,sane.zavon@unet.univie.ac.at,605,1274698836,1,1,0,0,0,0
Code,1,1,a0504661,Sane Zavon,sane.zavon@unet.univie.ac.at,605,1274776591,1,0,0,0,0,0
Code,1,1,a0504661,Sane Zavon,sane.zavon@unet.univie.ac.at,605,1274771007,1,1,0,0,0,0
Code,1,1,a0504661,Sane Zavon,sane.zavon@unet.univie.ac.at,605,1274438495,0,2,0,2,0,0
Code,1,1,a0504661,Sane Zavon,sane.zavon@unet.univie.ac.at,605,1274698679,0,1,0,2,0,0
Code,1,1,a0504661,Sane Zavon,sane.zavon@unet.univie.ac.at,605,1274632096,0,2,0,1,0,0
Code,1,1,a0504661,Sane Zavon,sane.zavon@unet.univie.ac.at,605,1274775512,0,0,1,0,0,0
Code,1,1,a0504661,Sane Zavon,sane.zavon@unet.univie.ac.at,605,1274770094,0,1,0,2,0,0
Code,1,1,a0506883,Jashan Jadie,jashan.jadie@unet.univie.ac.at,,,,,,,,
Code,1,1,a0525137,Auberl Jahil,auberl.jahil@unet.univie.ac.at,,,,,,,,
Code,1,1,a0547047,Maxim Calvick,maxim.calvick@unet.univie.ac.at,507,1275222770,0,0,1,0,0,0
Code,1,1,a0547047,Maxim Calvick,maxim.calvick@unet.univie.ac.at,507,1275216815,0,2,0,2,0,0
Code,1,1,a0547047,Maxim Calvick,maxim.calvick@unet.univie.ac.at,507,1275217188,1,1,0,0,0,0
Code,1,1,a0547047,Maxim Calvick,maxim.calvick@unet.univie.ac.at,507,1275222802,1,0,0,0,0,0
Code,1,1,a0547047,Maxim Calvick,maxim.calvick@unet.univie.ac.at,507,1275216472,0,0,1,0,0,0
Code,1,1,a0547047,Maxim Calvick,maxim.calvick@unet.univie.ac.at,507,1275216234,0,0,1,0,0,0
Code,1,1,a0547047,Maxim Calvick,maxim.calvick@unet.univie.ac.at,507,1275217263,1,1,0,0,0,0
Code,1,1,a0547047,Maxim Calvick,maxim.calvick@unet.univie.ac.at,507,1275217034,0,2,0,2,0,0
Code,1,1,a0547047,Maxim Calvick,maxim.calvick@unet.univie.ac.at,507,1275216357,0,0,1,0,0,0
Code,1,1,a0547047,Maxim Calvick,maxim.calvick@unet.univie.ac.at,507,1275222736,0,0,1,0,0,0
Code,1,1,a0547047,Maxim Calvick,maxim.calvick@unet.univie.ac.at,507,1275216589,0,0,1,0,0,0
Code,1,1,a0547047,Maxim Calvick,maxim.calvick@unet.univie.ac.at,507,1275216194,0,0,1,0,0,0
Code,1,1,a0547157,Jonze Jeffin,jonze.jeffin@unet.univie.ac.at,505,1274867078,0,1,0,2,0,0
Code,1,1,a0547157,Jonze Jeffin,jonze.jeffin@unet.univie.ac.at,505,1275513138,0,1,0,2,0,0
Code,1,1,a0547157,Jonze Jeffin,jonze.jeffin@unet.univie.ac.at,505,1274902257,1,1,0,0,0,0
Code,1,1,a0547157,Jonze Jeffin,jonze.jeffin@unet.univie.ac.at,505,1274902294,0,2,0,1,0,0
Code,1,1,a0547157,Jonze Jeffin,jonze.jeffin@unet.univie.ac.at,505,1274901390,1,1,0,0,0,0
Code,1,1,a0547157,Jonze Jeffin,jonze.jeffin@unet.univie.ac.at,505,1274824226,0,2,0,1,0,0
Code,1,1,a0547157,Jonze Jeffin,jonze.jeffin@unet.univie.ac.at,505,1274902213,1,1,0,0,0,0
Code,1,1,a0547157,Jonze Jeffin,jonze.jeffin@unet.univie.ac.at,505,1274877853,1,1,0,0,0,0
Code,1,1,a0547157,Jonze Jeffin,jonze.jeffin@unet.univie.ac.at,505,1274868261,1,0,0,0,0,0
Code,1,1,a0547157,Jonze Jeffin,jonze.jeffin@unet.univie.ac.at,505,1274866439,1,0,0,0,0,0
Code,1,1,a0547157,Jonze Jeffin,jonze.jeffin@unet.univie.ac.at,505,1274977049,1,2,0,0,0,0
Code,1,1,a0547157,Jonze Jeffin,jonze.jeffin@unet.univie.ac.at,505,1274877204,1,1,0,0,0,0
Code,1,1,a0547157,Jonze Jeffin,jonze.jeffin@unet.univie.ac.at,505,1274830168,0,1,0,1,0,0
Code,1,1,a0547157,Jonze Jeffin,jonze.jeffin@unet.univie.ac.at,505,1274867519,0,1,0,1,0,0
Code,1,1,a0547157,Jonze Jeffin,jonze.jeffin@unet.univie.ac.at,505,1274877278,1,1,0,0,0,0
Code,1,1,a0547157,Jonze Jeffin,jonze.jeffin@unet.univie.ac.at,505,1275517429,1,0,0,0,0,0
Code,1,1,a0547157,Jonze Jeffin,jonze.jeffin@unet.univie.ac.at,505,1274977782,1,2,0,0,0,0
Code,1,1,a0547157,Jonze Jeffin,jonze.jeffin@unet.univie.ac.at,505,1275513978,1,0,0,0,0,0
Code,1,1,a0547157,Jonze Jeffin,jonze.jeffin@unet.univie.ac.at,505,1274797118,0,1,0,1,0,0
Code,1,1,a0547157,Jonze Jeffin,jonze.jeffin@unet.univie.ac.at,505,1275517514,1,0,0,0,0,0
Code,1,1,a0547157,Jonze Jeffin,jonze.jeffin@unet.univie.ac.at,505,1274876257,0,0,1,0,0,0
Code,1,1,a0547157,Jonze Jeffin,jonze.jeffin@unet.univie.ac.at,505,1274876105,0,1,0,2,0,0
Code,1,1,a0547157,Jonze Jeffin,jonze.jeffin@unet.univie.ac.at,505,1274902942,1,0,0,0,0,0
Code,1,1,a0547157,Jonze Jeffin,jonze.jeffin@unet.univie.ac.at,505,1274868171,1,0,0,0,0,0
Code,1,1,a0547157,Jonze Jeffin,jonze.jeffin@unet.univie.ac.at,505,1274866720,1,0,0,0,0,0
Code,1,1,a0547157,Jonze Jeffin,jonze.jeffin@unet.univie.ac.at,505,1274901564,0,2,0,1,0,0
Code,1,1,a0547157,Jonze Jeffin,jonze.jeffin@unet.univie.ac.at,505,1274877800,0,1,0,2,0,0
Code,1,1,a0547157,Jonze Jeffin,jonze.jeffin@unet.univie.ac.at,505,1274901503,1,1,0,0,0,0
Code,1,1,a0547157,Jonze Jeffin,jonze.jeffin@unet.univie.ac.at,505,1274884532,0,1,0,2,0,0
Code,1,1,a0547157,Jonze Jeffin,jonze.jeffin@unet.univie.ac.at,505,1274865668,0,1,0,1,0,0
Code,1,1,a0547157,Jonze Jeffin,jonze.jeffin@unet.univie.ac.at,505,1275514028,0,1,0,1,0,0
Code,1,1,a0547157,Jonze Jeffin,jonze.jeffin@unet.univie.ac.at,505,1274826060,0,2,0,2,0,0
Code,1,1,a0547157,Jonze Jeffin,jonze.jeffin@unet.univie.ac.at,505,1274979517,1,0,0,0,0,0
Code,1,1,a0547157,Jonze Jeffin,jonze.jeffin@unet.univie.ac.at,505,1274977117,0,2,0,1,0,0
Code,1,1,a0547157,Jonze Jeffin,jonze.jeffin@unet.univie.ac.at,505,1274868327,0,1,0,2,0,0
Code,1,1,a0547157,Jonze Jeffin,jonze.jeffin@unet.univie.ac.at,505,1274977885,1,1,0,0,0,0
Code,1,1,a0547157,Jonze Jeffin,jonze.jeffin@unet.univie.ac.at,505,1274876405,0,0,1,0,0,0
Code,1,1,a0547157,Jonze Jeffin,jonze.jeffin@unet.univie.ac.at,505,1274877105,1,1,0,0,0,0
Code,1,1,a0547157,Jonze Jeffin,jonze.jeffin@unet.univie.ac.at,505,1274877056,1,1,0,0,0,0
Code,1,1,a0547157,Jonze Jeffin,jonze.jeffin@unet.univie.ac.at,505,1274867450,0,1,0,2,0,0
Code,1,1,a0547157,Jonze Jeffin,jonze.jeffin@unet.univie.ac.at,505,1274876422,0,1,0,1,0,0
Code,1,1,a0547157,Jonze Jeffin,jonze.jeffin@unet.univie.ac.at,505,1274876349,1,1,0,0,0,0
Code,1,1,a0547157,Jonze Jeffin,jonze.jeffin@unet.univie.ac.at,505,1274828265,0,2,0,1,0,0
Code,1,1,a0547157,Jonze Jeffin,jonze.jeffin@unet.univie.ac.at,505,1274887366,1,1,0,0,0,0
Code,1,1,a0547157,Jonze Jeffin,jonze.jeffin@unet.univie.ac.at,505,1275515602,1,0,0,0,0,0
Code,1,1,a0547157,Jonze Jeffin,jonze.jeffin@unet.univie.ac.at,505,1274877156,1,1,0,0,0,0
Code,1,1,a0547157,Jonze Jeffin,jonze.jeffin@unet.univie.ac.at,505,1275517994,0,1,0,1,0,0
Code,1,1,a0547157,Jonze Jeffin,jonze.jeffin@unet.univie.ac.at,505,1274825314,0,2,0,1,0,0
Code,1,1,a0548657,Bren Stianuel,bren.stianuel@unet.univie.ac.at,505,1275679996,0,1,0,2,0,0
Code,1,1,a0548657,Bren Stianuel,bren.stianuel@unet.univie.ac.at,505,1275675277,0,1,0,1,0,0
Code,1,1,a0548657,Bren Stianuel,bren.stianuel@unet.univie.ac.at,505,1275669210,0,1,0,1,0,0
Code,1,1,a0548657,Bren Stianuel,bren.stianuel@unet.univie.ac.at,505,1275500824,0,1,0,2,0,0
